,cnpj
670,45792287000178
671,18104364000187
672,8656783000178
673,8656961000160
674,18105842000173
675,41740610000109
676,18107303000173
677,1117354000183
678,18108369000188
679,8652320000138
680,18109346000198
681,7116392000106
682,41742618000104
683,18110507000163
684,2843803000133
685,18110630000184
686,18110834000115
687,18111067000169
688,18111212000101
689,8658107000133
690,18111892000163
691,41744108000176
692,7121987000141
693,18112627000108
694,18112682000190
695,41744456000143
696,41744912000155
697,18113684000101
698,8659482000106
699,7125829000160
700,18114453000104
701,18115169000152
702,18115464000109
703,18115689000165
704,8660208000149
705,18116458000176
706,18117210000120
707,18117213000163
708,18117320000191
709,7131711000144
710,22707205000144
711,7133243000147
712,8661109000181
713,18118280000100
714,7134029000105
715,45804764000178
716,8662613000104
717,7140415000100
718,2844854000180
719,2844907000162
720,7142398000140
721,18121194000149
722,2845964000166
723,7146131000120
724,18121969000186
725,20044032000104
726,7147685000142
727,2847443000148
728,8666566000169
729,2849165000168
730,41750318000177
731,41750427000194
732,41750525000121
733,2849776000106
734,2849990000162
735,22717149000129
736,8669873000101
737,18124294000129
738,2850244000199
739,41750947000105
740,2850846000146
741,2851552000139
742,18125088000133
743,7160968000124
744,41751699000109
745,2852218000108
746,18125415000157
747,2852297000149
748,2852416000163
749,1395718000197
750,18125749000120
751,18125800000102
752,7164367000190
753,22720302000177
754,41752378000129
755,7165312000102
756,8674390000197
757,41752467000175
758,2853703000198
759,8675022000163
760,2853978000121
761,2854089000189
762,1461381000179
763,1461727000139
764,2854370000111
765,18127072000160
766,8670212000198
767,18127716000110
768,22702546000127
769,7156262000199
770,805359000136
771,7157192000193
772,18129517000140
773,22706195000122
774,47650852000198
775,8677781000165
776,1581841000100
777,18130381000199
778,47651752000186
779,47651763000166
780,22707379000107
781,47652191000130
782,22707951000138
783,22708060000104
784,18131996000130
785,41761496000101
786,39274723000114
787,18133558000100
788,18133767000154
789,20081452000152
790,22710622000146
791,47655919000187
792,22710722000172
793,7188498000107
794,8681833000177
795,47656791000176
796,7189735000154
797,8682170000105
798,8682216000196
799,47657334000104
800,22711589000179
801,18134839000188
802,18135117000148
803,45828328000139
804,47658386000197
805,2855844000140
806,45829544000107
807,39278278000160
808,18136753000194
809,8688128000100
810,7205661000100
811,18137242000197
812,18137304000160
813,18137629000143
814,47659725000150
815,11663895000160
816,18138558000101
817,23008792000146
818,47659868000161
819,8688816000161
820,8688840000109
821,22715911000138
822,8683382000107
823,22716528000102
824,8683557000186
825,7209815000124
826,41755164000106
827,8684603000161
828,41755524000170
829,41755664000148
830,41755731000124
831,18140234000108
832,2857457000142
833,2857457000223
834,41756491000182
835,45835598000177
836,18140888000123
837,20070529000199
838,41757354000162
839,2858466000158
840,2858568000173
841,47660446000106
842,7201447000178
843,8686780000187
844,7202044000143
845,47660516000126
846,41758498000133
847,18142645000124
848,7220267000133
849,20079816000160
850,2861220000135
851,41759411000142
852,22722460000166
853,20081075000151
854,41759595000140
855,41759668000102
856,41759695000177
857,2861567000340
858,18143837000155
859,13142656000190
860,41760221000145
861,2861885000149
862,7224655000192
863,7224992000180
864,7226886000135
865,22724532000104
866,45444334000192
867,47660876000128
868,8692268000143
869,8692271000167
870,22725211000124
871,41762757000108
872,18145775000110
873,41763998000163
874,41764111000151
875,8694273000195
876,41764560000108
877,8694542000113
878,2864296000114
879,2864407000192
880,18147165000156
881,18147173000100
882,7231304000109
883,41765117000143
884,18147457000199
885,8698290000109
886,41765570000150
887,18148024000158
888,18148065000144
889,2865854000247
890,7238358000104
891,7238372000108
892,18149566000145
893,20092477000151
894,18149970000119
895,7240215000129
896,18150616000104
897,20093436000180
898,7241694000106
899,18151231000161
900,18151349000190
901,18151913000174
902,2867668000166
903,1641975000161
904,1642931000156
905,13144846000147
906,18153867000142
907,18154076000137
908,8697672000100
909,7249380000141
910,22737955000169
911,11663987000140
912,7249744000193
913,18155484000103
914,12161668000108
915,18155678000109
916,8704406000167
917,18156294000100
918,18156396000126
919,7251223000170
920,18156817000119
921,18157030000171
922,18157127000184
923,18157687000139
924,7253674000147
925,22740150000174
926,807600000166
927,7254514000112
928,8700956000108
929,18158574000158
930,18159368000162
931,23621846000144
932,7257697000120
933,1972392000113
934,18161232000197
935,47661694000171
936,47661752000167
937,18162648000120
938,18162714000161
939,18163191000178
940,47662534000147
941,18163282000103
942,18163294000138
943,47663033000185
944,7266367000109
945,18164001000137
946,18164447000161
947,7267528000170
948,1842526000181
949,18164842000144
950,47663846000175
951,7273315000151
952,12275565000160
953,18165877000106
954,47664290000131
955,45857300000120
956,2869148000192
957,2869156000139
958,47664794000151
959,18167665000150
960,10277407000114
961,18167861000124
962,47665553000127
963,18168016000173
964,18168208000180
965,18168362000151
966,47666031000140
967,41775470000104
968,2020664000148
969,8709103000137
970,47666403000138
971,18169559000105
972,2036483000886
973,7283571000120
974,2869995000238
975,2870421000107
976,7286845000134
977,2870685000152
978,47667805000157
979,2870820000160
980,12162037000103
981,47668275000161
982,8706940000102
983,18175448000101
984,22729076000195
985,22729291000196
986,18175752000159
987,47669699000140
988,22729946000126
989,41766146000120
990,22729950000194
991,41766236000110
992,45863746000167
993,2872545000113
994,41766381000100
995,18176342000122
996,41766964000122
997,45453788000120
998,41767193000198
999,41767195000187
1000,41767440000156
1001,41767479000173
1002,2874750000118
1003,13158699000164
1004,7299922000190
1005,18177575000140
1006,10278267000107
1007,22732120000205
1008,8712995000125
1009,2876319000100
1010,41768261000133
1011,2876622000103
1012,20114551000193
1013,8713580000176
1014,2877378000101
1015,7306292000134
1016,22734330000224
1017,8714100000191
1018,7306917000168
1019,20119456000182
1020,7290062000124
1021,18175389000171
1022,18180578000132
1023,2879412000179
1024,22735791000130
1025,8715956000181
1026,41769636000180
1027,7316524000216
1028,2166703000110
1029,7317640000179
1030,22737220000135
1031,18182331000155
1032,22737728000133
1033,41770104000162
1034,8716852000191
1035,18183586000132
1036,20128770000121
1037,8717038000191
1038,22738048000134
1039,7320711000192
1040,18184327000126
1041,7322630000121
1042,7323109000109
1043,7323309000161
1044,7323646000159
1045,18187316000108
1046,22739431000107
1047,22739616000111
1048,7326012000150
1049,18187743000188
1050,18188011000102
1051,18188029000104
1052,41771909000120
1053,18178889000167
1054,7310413000200
1055,18179651000156
1056,22741042000116
1057,7312695000196
1058,47671531000170
1059,7327607000120
1060,41773602000169
1061,41773703000130
1062,8724126000110
1063,18189512000103
1064,7329466000184
1065,18190282000100
1066,18190726000108
1067,7332025000131
1068,18191471000190
1069,7333157000188
1070,7333693000183
1071,41775400000156
1072,2270527000161
1073,45878839000165
1074,41775627000100
1075,7336116000145
1076,18193808000106
1077,18194316000127
1078,7337189000151
1079,18194851000188
1080,22744810000195
1081,18195067000194
1082,18195467000108
1083,18195540000133
1084,41776484000142
1085,7339773000146
1086,22745400000169
1087,20155295000182
1088,18196895000147
1089,8722096000103
1090,22745986000161
1091,2288423000184
1092,41777120000187
1093,22746710000106
1094,41777197000157
1095,8722714000115
1096,22747294000152
1097,22747498000193
1098,18188514000188
1099,8723889000147
1100,2883581000182
1101,41778380000177
1102,18201136000125
1103,18201282000150
1104,41778752000165
1105,18201818000138
1106,2884701000166
1107,2884750000107
1108,2884815000106
1109,22750051000173
1110,18202479000104
1111,22750854000128
1112,13170882000185
1113,22751114000106
1114,7363418000102
1115,8726913000100
1116,18203678000137
1117,8727576000167
1118,18197981000174
1119,8729193000128
1120,22757988000170
1121,8729459000132
1122,7352487000110
1123,18199363000163
1124,22758915000101
1125,7355726000196
1126,7356085000275
1127,8730823000184
1128,18200560000155
1129,7367357000151
1130,7367578000120
1131,18208568000168
1132,20146151000160
1133,20146214000188
1134,20146301000135
1135,18209162000108
1136,2890167000109
1137,8732389000171
1138,8732495000155
1139,20148305000152
1140,2891206000184
1141,7373739000198
1142,18210284000106
1143,13175066000164
1144,18210889000105
1145,23008141000156
1146,20154300000132
1147,18204076000102
1148,2892760000186
1149,18204121000110
1150,8734500000169
1151,8734549000111
1152,13173550000154
1153,7380766000198
1154,7380938000123
1155,7380940000100
1156,41789305000101
1157,7382197000110
1158,7382803000105
1159,18206885000145
1160,41790481000163
1161,8736342000186
1162,7385110000168
1163,18207991000143
1164,10284240000119
1165,47675025000159
1166,7392454000102
1167,47675256000162
1168,7394526000142
1169,18214598000187
1170,18214865000116
1171,7396182000100
1172,8738140000173
1173,47675771000142
1174,18215306000120
1175,7397454000197
1176,7397732000106
1177,13179036000126
1178,41780105000198
1179,2360539000187
1180,2360539000268
1181,22771245000155
1182,7401366000111
1183,7401701000181
1184,18217534000130
1185,41781003000197
1186,18217736000181
1187,2384975000196
1188,18217955000160
1189,41781540000137
1190,47676146000115
1191,7403784000148
1192,2412008000190
1193,41782033000118
1194,7385916000156
1195,18219489000152
1196,7386031000171
1197,8741590000115
1198,7388723000159
1199,7389930000128
1200,41784278000184
1201,18223273000160
1202,18223522000118
1203,18223815000103
1204,22752755000185
1205,41785127000140
1206,47677066000184
1207,8747793000119
1208,41785801000197
1209,8747872000120
1210,7411387000118
1211,7411469000243
1212,18225929000184
1213,22754694000195
1214,41786217000156
1215,18226463000131
1216,41786502000177
1217,41786557000187
1218,41786783000168
1219,41786846000186
1220,47677630000169
1221,18227510000161
1222,39302322000120
1223,22755967000116
1224,7415543000119
1225,41787143000172
1226,18227966000121
1227,18228058000152
1228,22756568000170
1229,8749750000172
1230,8749794000283
1231,2895825000147
1232,8749868000109
1233,22757187000105
1234,8743522000195
1235,8743662000163
1236,8743704000166
1237,2896214000113
1238,18220695000182
1239,18221038000150
1240,22758002000187
1241,2896868000147
1242,2896992000102
1243,41788750000157
1244,41789357000188
1245,41789711000174
1246,41789843000104
1247,41789904000125
1248,41789937000175
1249,7426616000178
1250,20164387000129
1251,7427843000118
1252,12446606000134
1253,41790934000151
1254,47678535000180
1255,18228978000170
1256,22761651000137
1257,2899586000101
1258,8751484000112
1259,41792265000157
1260,41792287000117
1261,45915177000156
1262,7436294000148
1263,22763340000107
1264,2900637000160
1265,8752842000101
1266,8753065000110
1267,2901223000155
1268,2901226000199
1269,22758299000180
1270,18231493000136
1271,8754122000185
1272,39310106000127
1273,47680933000130
1274,2902111000119
1275,18232338000134
1276,8755041000108
1277,13186535000140
1278,7443049000168
1279,22759619000117
1280,22759670000129
1281,13187368000152
1282,41795657000170
1283,47681994000112
1284,22760106000126
1285,47682386000122
1286,7446376000173
1287,47682746000196
1288,22773091000130
1289,2903432000138
1290,23014449000104
1291,41796918000176
1292,8761308000161
1293,45920278000115
1294,20179809000130
1295,47683517000196
1296,8762210000129
1297,22765113000110
1298,18241208000168
1299,7456005000172
1300,22767770000105
1301,22767832000170
1302,7458017000136
1303,22768468000163
1304,22769609000162
1305,7462045000127
1306,18236095000102
1307,8759378000185
1308,8759468000176
1309,18236689000113
1310,7463979000183
1311,23011468000187
1312,22772035000181
1313,8760174000164
1314,22772262000107
1315,22772538000157
1316,2905876000102
1317,7467809000177
1318,18245767000146
1319,18246567000108
1320,7470522000104
1321,18247080000140
1322,41804908000135
1323,18247731000100
1324,18247812000100
1325,7472760000140
1326,8768641000100
1327,18247985000110
1328,18248164000106
1329,47692183000117
1330,7473861000136
1331,22777040000187
1332,18248419000203
1333,18248641000125
1334,18248767000108
1335,7474697000181
1336,12280199000138
1337,8769453000199
1338,41792553000101
1339,8763554000152
1340,18249776000105
1341,7477332000100
1342,2906412000110
1343,7477836000120
1344,7478100000177
1345,18250660000196
1346,18241721000159
1347,18241811000140
1348,18242102000189
1349,7480599000157
1350,18242685000148
1351,7481660000180
1352,7481665000103
1353,7481754000150
1354,18243779000131
1355,7483600000105
1356,7484081000191
1357,8765867000140
1358,18244556000199
1359,20187553000102
1360,20187740000196
1361,8766422000184
1362,2585625000198
1363,2590005000147
1364,2591697000229
1365,18254017000130
1366,8769982000192
1367,2909181000107
1368,41795087000118
1369,41795477000198
1370,2696692000260
1371,7493549000104
1372,8771120000102
1373,8771426000150
1374,2910156000135
1375,2740399000172
1376,41796633000135
1377,41799310000103
1378,7498594000151
1379,2911112000120
1380,41797057000140
1381,2911205000154
1382,7499490000161
1383,20201306000113
1384,8773270000147
1385,41797489000151
1386,2912069000117
1387,2912153000130
1388,2808167000109
1389,2808361000194
1390,8774117000134
1391,23646957000105
1392,41798198000188
1393,2821431000144
1394,2912882000197
1395,7504944000145
1396,41798525000100
1397,2913075000199
1398,2913208000127
1399,18253042000108
1400,2847287000115
1401,8775367000199
1402,41799096000187
1403,2614467000157
1404,2913967000190
1405,41800088000103
1406,2914317000169
1407,2914327000102
1408,2914386000172
1409,8777645000147
1410,41800928000138
1411,7511945000117
1412,8777833000175
1413,7512243000158
1414,41801400000183
1415,41801512000134
1416,8778281000110
1417,41802170000177
1418,41802322000131
1419,8779029000206
1420,2915423000167
1421,47684536000137
1422,47684565000107
1423,13209361000194
1424,2916016000174
1425,41805127000165
1426,47684986000120
1427,7524150000143
1428,18258855000182
1429,7525128000118
1430,18259253000140
1431,8782243000211
1432,18259353000176
1433,18260035000125
1434,18260084000168
1435,47685990000102
1436,23661049000190
1437,18268966000170
1438,7530727000120
1439,7530806000130
1440,719897000108
1441,47687417000138
1442,18260718000182
1443,8785977000173
1444,18261388000140
1445,18261454000181
1446,7533672000101
1447,47688307000190
1448,18261929000130
1449,8787026000133
1450,7536959000195
1451,7537873000187
1452,18263554000147
1453,18263645000182
1454,47689415000188
1455,10290528000104
1456,7538742000114
1457,8787536000100
1458,18264190000110
1459,8787838000260
1460,45954079000128
1461,7543849000150
1462,18266713000167
1463,7546512000105
1464,10290918000176
1465,18273224000132
1466,47692188000140
1467,18273510000106
1468,47692688000181
1469,7549773000170
1470,7550588000104
1471,47693428000120
1472,18274070000101
1473,47693642000187
1474,47693930000131
1475,38205846000130
1476,7552655000111
1477,47694236000139
1478,7554208000100
1479,8794111000129
1480,45960205000157
1481,7554809000104
1482,7555136000107
1483,47695005000140
